,name,slider,flags,opposites,introduce,cancel,raise,lower,department,prereqs,mincost,maxcost,costfunction,cost multiplier,implementation,minincome,maxincome,incomefunction,incomemultiplier,nationalisation GDP percentage,,,,,,,,,,,,,,,,,,,,,
#,NobleTaxBreaks,default,,,30,15,25,15,TAX,EstatesSystem,150,1500,0+(1.0*x),"_default_,0.25;AristocratsInfluence,0+(0.75*x)",1,0,0,0+(1.0*x),,,#Effects,"Liberal,-0.05-(0.2*x)","Conservatives,0.02+(0.18*x)","_HighIncome,0.12*(x^2)","Wealthy,0.1+(0.3*x)","Socialist,-0.12-(0.18*x)","Farmers,-0.02-(0.13*x)",,,,,,,,,,,,,,
#,MilitaryAidToJerusalem,default,,,20,15,18,12,FOREIGNPOLICY,StateOfJerusalem,100,1000,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"StateOfJerusalem,0.02+(0.28*x),8","Liberal,-0.05-(0.2*x)","Religious,0+(0.2*x)","Conservatives,0+(0.15*x)","Socialist,-0.12-(0.18*x)","ForeignRelations,-0.05-(0.10*x)","Capitalist,0.01+(x*0.05)",,,,,,,,,,,,,
#,FinancialAidToJerusalem,default,,,15,20,12,18,FOREIGNPOLICY,StateOfJerusalem,70,700,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"StateOfJerusalem,0.02+(0.28*x),8","Religious,0+(0.1*x)","Conservatives,0+(0.05*x)","ForeignRelations,0.03+(0.07*x)","Liberal,-0.02-(0.04*x)","Socialist,-0.03-(0.07*x)","Capitalist,0.02+(x*0.08)",,,,,,,,,,,,,
#,CentralBankingGuild,default,,PrivateCentralBank,35,25,18,18,ECONOMY,,0,0,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Capitalist,-0.08-(0.22*x)","SelfEmployed,0.1+(0.15*x)","SelfEmployed_freq,0+(0.08*x),8","SelfEmployed_income,0.01+(0.14*x)","GDP,-0.005-(0.025*x),8","CurrencyStrength,0.02+(0.07*x)","Inflation,-0.15*(x^3),8","Corruption,0.3*(x^3),8","Unemployment,0-(0.08*x),8","_LowIncome,-0.005-(0.07*x)","_HighIncome,-0.005+(0.07*x)","AristocratsInfluence,0.02+(0.08*x)",,,,,,,,
#,PrivateCentralBank,default,,CentralBankingGuild,30,20,20,20,ECONOMY,,0,0,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Capitalist,0.08+(0.22*x)","Wealthy,0.1+(0.15*x)","_HighIncome,0.01+(0.14*x)","GDP,0.01+(0.04*x),8","CurrencyStrength,0.01+(0.05*x)","Inflation,-0.1*(x^3),8","Corruption,0.2*(x^3),8","Unemployment,0+(0.08*x),8","_LowIncome,-0.01-(0.14*x)","_global_socialism,-0.01-(0.03*x),8","Socialist,0-(0.22*x)","PovertyRate,0.02*(x^3),4",,,,,,,,
#,RhinelandProtectorate,protectorate,,,99,30,35,32,FOREIGNPOLICY,_prereq_bourbon,100,250,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Patriot,0+(0.15*x)","Socialist,-0.05-(0.05*x)","GDP,0.01+(0.03*x),4","InternationalTrade,0.05+(0.1*x)","TechnologicalAdvantage,0.01+(0.03*x)","Unemployment,0.025*(x^3),4","TechnologyBackwater,-0.01-(0.04*x)","Capitalist,0.01+(x*0.05)","EthnicMinorities,-0.03-(0.04*x)","MilitarySpending_cost,0.05+(0.05*x)","ForeignRelations,-0.01-(0.02*x)",,,,,,,,,
#,FrenchAlgeria,protectorate,,,99,28,40,28,FOREIGNPOLICY,_prereq_bourbon,200,500,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Patriot,0+(0.25*x)","Liberal,-0.05-(0.2*x)","EthnicMinorities,-0.1-(0.3*x)","Prestige,0.02+(0.03*x)","PoliceForce_cost,0.05+(0.2*x)","MilitarySpending_cost,0.1+(0.3*x)","Capitalist,0.04-(x*0.08)","RacialTension,0.05+(x^2)*0.25","EthnicMinorities_freq,0.25-(0.05*x),32","Population,0.1+(0*x)","ForeignRelations,-0.03-(0.12*x)","MineralWealth,0.1+(0.1*x),4","OilWealth,0.15+(0.15*x),4",,,,,,,
#,VenalOffices,default,,,30,26,25,20,PUBLICSERVICES,,0,0,0+(1.0*x),,4,100,2500,0+(1.0*x),"_default_,0.25;_HighIncome,0+(0.4*x);_MiddleIncome,0+(0.2*x);EstatesSystem,0.05+(0.35*x);NobleTaxBreaks,0.05+(0.2*x)",,#Effects,"NobleTaxBreaks_cost,0.05+(0.35*x)","Liberal,-0.05-(0.2*x)","Wealthy,0.1+(0.15*x)","Socialist,-0.05-(0.25*x)","_MiddleIncome,0-(0.05*x)","_HighIncome,-0.01-(0.02*x)","Corruption,0.02+(x^2)*0.18","AristocratsInfluence,-0.005-(0.04*x),16",,,,,,,,,,,,
#,Corvee,corvee,MULTIPLYINCOME,,50,20,35,15,LAWANDORDER,,10,100,0+(1.0*x),,4,50,800,0+(1.0*x),"Population,0.25+(0.75*x)",,#Effects,"_LowIncome,-0.01-(0.09*x)","Poor,-0.1-(0.25*x)","Socialist,-0.07-(0.33*x)","GDP,0.005+(0.01*x)","Prisons_cost,-0.05-(0.2*x)","RoadBuilding_cost,-0.05-(0.25*x)","PrivateRail,0.02+(0.12*x)","StateRail_cost,-0.02-(0.12*x)",,,,,,,,,,,,
#,BostonAccordsMembership,default,,,32,40,28,25,FOREIGNPOLICY,_prereq_bourbon,110,1400,0+(1.0*x),"WesternApproval,1-(0.25*x);MilitarySpending,0.5-(0.5*x)",1,0,0,0+(1.0*x),,,#Effects,"WesternApproval,0.05+(0.15*x),4","WesternApproval,-0.3*(0.5-MilitarySpending)*x","Socialist,-0.07-(0.13*x)","Patriot,-0.1-(0.25*x)","Liberal,0.05+(0.1*x)","BusinessConfidence,0.05+(0.05*x),8","ForeignInvestment,0.05+(0.05*x),8","EasternApproval,-0.1-(0.2*x)",,,,,,,,,,,,
#,EuropeanTradeCommunity,default,,,28,42,17,22,FOREIGNPOLICY,_prereq_bourbon,225,2250,0+(1.0*x),"ForeignRelations,1-(0.25*x)",4,0,0,0+(1.0*x),"_default_,0.75;CapitalControls,0.1+(0.15*x);ImportTarrifs,0.1+(0.15*x)",,#Effects,"BusinessConfidence,0.02+(0.02*x)","ForeignInvestment,0.05+(0.05*x)","InternationalTrade,0.1+(0.1*x)","Patriot,-0.1-(0.25*x)","Liberal,0.05+(0.1*x)","Capitalist,0.1+(x*0.1)","ForeignRelations,0.05+(0.1*x)","WesternApproval,0.05+(0.05*x)","ImportTarrifs_income,0.95-(0.25*x)",,,,,,,,,,,
#,SovietTradeAgreement,default,,,28,20,22,17,FOREIGNPOLICY,_prereq_bourbon,100,1000,0+(1.0*x),"EasternApproval,1-(0.25*x)",4,0,0,0+(1.0*x),,,#Effects,"Capitalist,-0.1-(x*0.1)","Socialist,0.07+(0.13*x)","Patriot,-0.1-(0.25*x)","EasternApproval,0.05+(0.15*x)","InternationalTrade,0.05+(0.05*x)","OilSupply,0+(0.1*x),4","WesternApproval,-0.05-(0.05*x)",,,,,,,,,,,,,
